<<<<<<< HEAD
,index,detail_id,order_id,dishes_id,dishes_name,itemis_add,counts,amounts,place_order_time,add_inprice,picture_file,emp_id,order_day,sales,weekday
43,43,2670,392,609947, 北冰洋汽水 ,0,1.0,5.0,2016-08-01 13:02:00,0,caipu/404003.jpg,1094,1,5.0,七
44,44,2948,415,609930,豌豆薯仔猪骨汤,0,1.0,39.0,2016-08-01 13:02:00,0,caipu/203001.jpg,1166,1,39.0,七
45,45,2677,392,609949,意文柠檬汁 ,0,1.0,13.0,2016-08-01 13:02:00,0,caipu/404005.jpg,1094,1,13.0,七
46,46,2680,392,609950,大蒜苋菜,0,1.0,30.0,2016-08-01 13:03:00,0,caipu/303001.jpg,1094,1,30.0,七
47,47,2684,392,609952,美妙绝伦之白莲花,0,1.0,29.0,2016-08-01 13:04:00,0,caipu/303003.jpg,1094,1,29.0,七
48,48,2682,392,609951,炝炒大白菜,0,1.0,29.0,2016-08-01 13:04:00,0,caipu/303002.jpg,1094,1,29.0,七
49,49,2689,392,609954,凉拌蒜蓉西兰花,0,1.0,29.0,2016-08-01 13:05:00,0,caipu/304001.jpg,1094,1,29.0,七
50,50,2693,392,609956,孜然羊排,0,1.0,88.0,2016-08-01 13:05:00,0,caipu/202002.jpg,1094,1,88.0,七
51,51,2687,392,609953,凉拌菠菜,0,1.0,27.0,2016-08-01 13:05:00,0,caipu/303004.jpg,1094,1,27.0,七
52,52,2695,392,609957,蒙古烤羊腿,0,1.0,48.0,2016-08-01 13:06:00,0,caipu/202003.jpg,1094,1,48.0,七
53,53,2950,415,609955,红酒炖羊肉,0,1.0,108.0,2016-08-01 13:06:00,0,caipu/202001.jpg,1166,1,108.0,七
54,54,2729,392,609968,油焖麻辣虾,0,1.0,65.0,2016-08-01 13:06:00,0,caipu/101003.jpg,1094,1,65.0,七
55,55,2697,392,609958,香辣爆羊肝,0,1.0,28.0,2016-08-01 13:06:00,0,caipu/202004.jpg,1094,1,28.0,七
56,56,2952,415,610071, 42度海之蓝,0,1.0,99.0,2016-08-01 13:07:00,0,caipu/401004.jpg,1166,1,99.0,七
57,57,2733,392,609989,青岛啤酒罐装,0,1.0,7.0,2016-08-01 13:07:00,0,caipu/403004.jpg,1094,1,7.0,七
58,58,2951,415,610011,白饭/大碗,0,1.0,10.0,2016-08-01 13:07:00,0,caipu/601005.jpg,1166,1,10.0,七
59,59,2953,415,609945,农夫山泉NFC果汁100%橙汁,0,1.0,6.0,2016-08-01 13:08:00,0,caipu/404001.jpg,1166,1,6.0,七
60,60,2535,381,609996,牛尾汤,0,1.0,40.0,2016-08-01 13:13:00,0,caipu/201006.jpg,1243,1,40.0,七
61,61,2539,381,609994,独家薄荷鲜虾牛肉卷,0,1.0,45.0,2016-08-01 13:13:00,0,caipu/201004.jpg,1243,1,45.0,七
62,62,2542,381,610012,香菇鹌鹑蛋,0,1.0,39.0,2016-08-01 13:15:00,0,caipu/302001.jpg,1243,1,39.0,七
63,63,2544,381,610047,西瓜胡萝卜沙拉,0,1.0,26.0,2016-08-01 13:16:00,0,caipu/301001.jpg,1243,1,26.0,七
64,64,3059,429,609968,油焖麻辣虾,0,1.0,65.0,2016-08-01 13:17:00,0,caipu/101003.jpg,1452,1,65.0,七
65,65,3063,429,609962,倒立蒸梭子蟹,0,1.0,169.0,2016-08-01 13:18:00,0,caipu/102002.jpg,1452,1,169.0,七
66,66,3065,429,609943,剁椒鱼头,0,1.0,55.0,2016-08-01 13:18:00,0,caipu/103004.jpg,1452,1,55.0,七
67,67,3067,429,609952,美妙绝伦之白莲花,0,1.0,29.0,2016-08-01 13:20:00,0,caipu/303003.jpg,1452,1,29.0,七
68,68,2546,381,609946,谷稻小庄 ,0,1.0,38.0,2016-08-01 13:21:00,0,caipu/404002.jpg,1243,1,38.0,七
69,69,2549,381,610052,黄油曲奇饼干,0,1.0,16.0,2016-08-01 13:22:00,0,caipu/501001.jpg,1243,1,16.0,七
70,70,2551,381,610008,五色糯米饭(七色),0,1.0,35.0,2016-08-01 13:23:00,0,caipu/601002.jpg,1243,1,35.0,七
71,71,3068,429,609948,露露无糖杏仁露,0,1.0,7.0,2016-08-01 13:24:00,0,caipu/404004.jpg,1452,1,7.0,七
72,72,3069,429,609947, 北冰洋汽水 ,0,1.0,5.0,2016-08-01 13:24:00,0,caipu/404003.jpg,1452,1,5.0,七
73,73,3070,429,609971,大理石奶油蛋糕,0,1.0,13.0,2016-08-01 13:25:00,0,caipu/502001.jpg,1452,1,13.0,七
74,74,3074,429,610072,53度茅台,0,1.0,128.0,2016-08-01 13:26:00,0,caipu/401005.jpg,1452,1,128.0,七
75,75,3077,429,610056,纸杯蛋糕,0,1.0,8.0,2016-08-01 13:27:00,0,caipu/501005.jpg,1452,1,8.0,七
76,76,3078,429,610007,桂圆肉红豆八宝饭,0,1.0,39.0,2016-08-01 13:29:00,0,caipu/601001.jpg,1452,1,39.0,七
77,77,3082,429,610044,木须豌豆,0,1.0,32.0,2016-08-01 13:31:00,0,caipu/305003.jpg,1452,1,32.0,七
78,78,3080,429,610021,爆炒鸡翅,0,1.0,56.0,2016-08-01 13:31:00,0,caipu/204004.jpg,1452,1,56.0,七
79,79,3079,429,609939,香菇鸡肉粥,0,1.0,15.0,2016-08-01 13:31:00,0,caipu/602005.jpg,1452,1,15.0,七
80,80,3081,429,610023,啤酒鸭,0,1.0,48.0,2016-08-01 13:31:00,0,caipu/204006.jpg,1452,1,48.0,七
81,81,3083,429,609950,大蒜苋菜,0,1.0,30.0,2016-08-01 13:34:00,0,caipu/303001.jpg,1452,1,30.0,七
82,82,3116,433,609978,爆炒鳝碌,0,1.0,55.0,2016-08-01 13:38:00,0,caipu/106003.jpg,1109,1,55.0,七
83,83,3117,433,609955,红酒炖羊肉,0,1.0,108.0,2016-08-01 13:39:00,0,caipu/202001.jpg,1109,1,108.0,七
84,84,3118,433,609965,葱姜炒蟹,0,1.0,109.0,2016-08-01 13:41:00,0,caipu/102005.jpg,1109,1,109.0,七
85,85,3119,433,609989,青岛啤酒罐装,0,2.0,7.0,2016-08-01 13:41:00,0,caipu/403004.jpg,1109,1,14.0,七
86,86,3120,433,609944,水煮鱼,0,1.0,65.0,2016-08-01 13:44:00,0,caipu/103005.jpg,1109,1,65.0,七
87,87,3121,433,609990,特醇嘉士伯啤酒罐装,0,2.0,6.0,2016-08-01 13:46:00,0,caipu/403005.jpg,1109,1,12.0,七
88,88,3122,433,609988,百威啤酒罐装,0,2.0,6.0,2016-08-01 13:48:00,0,caipu/403003.jpg,1109,1,12.0,七
89,89,3123,433,609942,辣炒鱿鱼,0,1.0,58.0,2016-08-01 13:48:00,0,caipu/103003.jpg,1109,1,58.0,七
90,90,3124,433,610011,白饭/大碗,0,1.0,10.0,2016-08-01 13:49:00,0,caipu/601005.jpg,1109,1,10.0,七
91,91,3127,433,610028,培根花菜,0,1.0,35.0,2016-08-01 13:50:00,0,caipu/304002.jpg,1109,1,35.0,七
92,92,3126,433,610050,番茄甘蓝,0,1.0,33.0,2016-08-01 13:50:00,0,caipu/301004.jpg,1109,1,33.0,七
93,93,4509,569,609963,盘蟹蒸蛋,0,2.0,55.0,2016-08-01 17:06:00,0,caipu/102003.jpg,1143,1,110.0,七
94,94,4513,569,609936,皮蛋瘦肉粥,0,5.0,16.0,2016-08-01 17:16:00,0,caipu/602002.jpg,1143,1,80.0,七
95,95,4516,569,609932,爆炒猪肝,0,2.0,68.0,2016-08-01 17:18:00,0,caipu/203003.jpg,1143,1,136.0,七
96,96,5453,655,609968,油焖麻辣虾,0,1.0,65.0,2016-08-01 17:32:00,0,caipu/101003.jpg,1268,1,65.0,七
97,97,5461,655,609957,蒙古烤羊腿,0,1.0,48.0,2016-08-01 17:33:00,0,caipu/202003.jpg,1268,1,48.0,七
98,98,5468,655,609946,谷稻小庄 ,0,1.0,38.0,2016-08-01 17:33:00,0,caipu/404002.jpg,1268,1,38.0,七
99,99,5465,655,609953,凉拌菠菜,0,1.0,27.0,2016-08-01 17:33:00,0,caipu/303004.jpg,1268,1,27.0,七
100,100,5470,655,610011,白饭/大碗,0,2.0,10.0,2016-08-01 17:35:00,0,caipu/601005.jpg,1268,1,20.0,七
101,101,5471,655,609958,香辣爆羊肝,0,1.0,28.0,2016-08-01 17:36:00,0,caipu/202004.jpg,1268,1,28.0,七
102,102,4586,577,609966,芝士烩波士顿龙虾,0,1.0,175.0,2016-08-01 17:37:00,0,caipu/101001.jpg,1150,1,175.0,七
103,103,5143,622,610043,肉丁茄子,0,1.0,39.0,2016-08-01 17:40:00,0,caipu/305002.jpg,1220,1,39.0,七
104,104,5142,622,609984,重庆特色油烧兔,0,1.0,69.0,2016-08-01 17:40:00,0,caipu/205004.jpg,1220,1,69.0,七
105,105,4588,577,609931,焖猪手,0,1.0,58.0,2016-08-01 17:40:00,0,caipu/203002.jpg,1150,1,58.0,七
106,106,4593,577,609934,芹菜炒腰花,0,1.0,18.0,2016-08-01 17:41:00,0,caipu/203005.jpg,1150,1,18.0,七
107,107,5472,655,609960,白胡椒胡萝卜羊肉汤,0,1.0,35.0,2016-08-01 17:41:00,0,caipu/202006.jpg,1268,1,35.0,七
108,108,5144,622,610025,番茄蛋汤,0,1.0,25.0,2016-08-01 17:43:00,0,caipu/204008.jpg,1220,1,25.0,七
109,109,5473,655,610010,白饭/小碗,0,2.0,1.0,2016-08-01 17:44:00,0,caipu/601004.jpg,1268,1,2.0,七
110,110,4597,577,609953,凉拌菠菜,0,1.0,27.0,2016-08-01 17:44:00,0,caipu/303004.jpg,1150,1,27.0,七
111,111,5145,622,610010,白饭/小碗,0,2.0,1.0,2016-08-01 17:45:00,0,caipu/601004.jpg,1220,1,2.0,七
112,112,5149,622,610052,黄油曲奇饼干,0,1.0,16.0,2016-08-01 17:46:00,0,caipu/501001.jpg,1220,1,16.0,七
113,113,5152,622,609949,意文柠檬汁 ,0,1.0,13.0,2016-08-01 17:47:00,0,caipu/404005.jpg,1220,1,13.0,七
114,114,4600,577,609954,凉拌蒜蓉西兰花,0,1.0,29.0,2016-08-01 17:48:00,0,caipu/304001.jpg,1150,1,29.0,七
115,115,4604,577,609946,谷稻小庄 ,0,1.0,38.0,2016-08-01 17:49:00,0,caipu/404002.jpg,1150,1,38.0,七
116,116,4609,577,610008,五色糯米饭(七色),0,1.0,35.0,2016-08-01 17:50:00,0,caipu/601002.jpg,1150,1,35.0,七
117,117,5428,651,610039,培根紫菜卷,0,1.0,30.0,2016-08-01 18:12:00,0,caipu/105003.jpg,1593,1,30.0,七
118,118,5430,651,609981,桂圆枸杞鸽子汤,0,1.0,48.0,2016-08-01 18:13:00,0,caipu/205001.jpg,1593,1,48.0,七
119,119,5432,651,610031,糖醋蕃茄溜青花,0,1.0,33.0,2016-08-01 18:17:00,0,caipu/304005.jpg,1593,1,33.0,七
120,120,5437,651,610011,白饭/大碗,0,1.0,10.0,2016-08-01 18:19:00,0,caipu/601005.jpg,1593,1,10.0,七
121,121,5440,651,610018,照烧鸡腿,0,1.0,16.0,2016-08-01 18:20:00,0,caipu/204001.jpg,1593,1,16.0,七
122,122,5875,694,609966,芝士烩波士顿龙虾,0,1.0,175.0,2016-08-01 18:27:00,0,caipu/101001.jpg,1122,1,175.0,七
123,123,5876,694,609969,香辣腐乳炒虾,0,1.0,56.0,2016-08-01 18:29:00,0,caipu/101004.jpg,1122,1,56.0,七
124,124,5877,694,609944,水煮鱼,0,1.0,65.0,2016-08-01 18:30:00,0,caipu/103005.jpg,1122,1,65.0,七
125,125,5878,694,610019,白斩鸡,0,1.0,88.0,2016-08-01 18:31:00,0,caipu/204002.jpg,1122,1,88.0,七
126,126,5879,694,610069,50度古井贡酒,0,1.0,90.0,2016-08-01 18:31:00,0,caipu/401002.jpg,1122,1,90.0,七
127,127,5881,694,609999,鱼香肉丝拌面,0,1.0,18.0,2016-08-01 18:32:00,0,caipu/603003.jpg,1122,1,18.0,七
128,128,5880,694,609975,一品香酥藕,0,1.0,10.0,2016-08-01 18:32:00,0,caipu/502005.jpg,1122,1,10.0,七
129,129,5882,694,609965,葱姜炒蟹,0,1.0,109.0,2016-08-01 18:35:00,0,caipu/102005.jpg,1122,1,109.0,七
130,130,5883,694,609993,百里香奶油烤红酒牛肉,0,1.0,178.0,2016-08-01 18:36:00,0,caipu/111.jpg,1122,1,178.0,七
131,131,5884,694,609950,大蒜苋菜,0,1.0,30.0,2016-08-01 18:37:00,0,caipu/303001.jpg,1122,1,30.0,七
132,132,3461,462,609935,山药养生粥,0,1.0,19.0,2016-08-01 18:45:00,0,caipu/602001.jpg,1187,1,19.0,七
133,133,3458,462,609965,葱姜炒蟹,0,1.0,109.0,2016-08-01 18:45:00,0,caipu/102005.jpg,1187,1,109.0,七
134,134,3462,462,609933,自制猪肉脯,0,1.0,48.0,2016-08-01 18:46:00,0,caipu/203004.jpg,1187,1,48.0,七
135,135,3465,462,609939,香菇鸡肉粥,0,1.0,15.0,2016-08-01 18:46:00,0,caipu/602005.jpg,1187,1,15.0,七
136,136,3470,462,609954,凉拌蒜蓉西兰花,0,1.0,29.0,2016-08-01 18:47:00,0,caipu/304001.jpg,1187,1,29.0,七
137,137,3467,462,609953,凉拌菠菜,0,1.0,27.0,2016-08-01 18:47:00,0,caipu/303004.jpg,1187,1,27.0,七
138,138,3481,462,610027,清炒菊花菜,0,1.0,30.0,2016-08-01 18:48:00,0,caipu/304001.jpg,1187,1,30.0,七
139,139,3479,462,610028,培根花菜,0,1.0,35.0,2016-08-01 18:48:00,0,caipu/304002.jpg,1187,1,35.0,七
140,140,3484,462,610057,宝宝版牛肉肠粉,0,1.0,15.0,2016-08-01 18:48:00,0,caipu/604001.jpg,1187,1,15.0,七
141,141,3477,462,610004,南瓜芝士包,0,1.0,10.0,2016-08-01 18:48:00,0,caipu/503003.jpg,1187,1,10.0,七
142,142,3483,462,610035,黄尾袋鼠西拉子红葡萄酒,0,1.0,46.0,2016-08-01 18:48:00,0,caipu/402004.jpg,1187,1,46.0,七
143,143,3475,462,609998,清爽拌凉面,0,1.0,15.0,2016-08-01 18:48:00,0,caipu/603002.jpg,1187,1,15.0,七
144,144,3486,462,610009,黑米恋上葡萄,0,1.0,33.0,2016-08-01 18:49:00,0,caipu/601003.jpg,1187,1,33.0,七
145,145,3411,458,610063,蒜香辣花甲,0,1.0,45.0,2016-08-01 19:27:00,0,caipu/104002.jpg,1455,1,45.0,七
146,146,3413,458,609943,剁椒鱼头,0,1.0,55.0,2016-08-01 19:28:00,0,caipu/103004.jpg,1455,1,55.0,七
147,147,3418,458,609954,凉拌蒜蓉西兰花,0,1.0,29.0,2016-08-01 19:28:00,0,caipu/304001.jpg,1455,1,29.0,七
148,148,3416,458,610044,木须豌豆,0,1.0,32.0,2016-08-01 19:28:00,0,caipu/305003.jpg,1455,1,32.0,七
149,149,3415,458,609942,辣炒鱿鱼,0,1.0,58.0,2016-08-01 19:28:00,0,caipu/103003.jpg,1455,1,58.0,七
150,150,3422,458,610017,酸辣藕丁,0,1.0,33.0,2016-08-01 19:29:00,0,caipu/302006.jpg,1455,1,33.0,七
151,151,3419,458,609951,炝炒大白菜,0,1.0,29.0,2016-08-01 19:29:00,0,caipu/303002.jpg,1455,1,29.0,七
152,152,3423,458,609939,香菇鸡肉粥,0,1.0,15.0,2016-08-01 19:29:00,0,caipu/602005.jpg,1455,1,15.0,七
153,153,3430,458,609983,干锅田鸡,0,1.0,88.0,2016-08-01 19:30:00,0,caipu/205003.jpg,1455,1,88.0,七
154,154,3428,458,609981,桂圆枸杞鸽子汤,0,1.0,48.0,2016-08-01 19:30:00,0,caipu/205001.jpg,1455,1,48.0,七
155,155,3427,458,609982,五香酱驴肉,0,1.0,52.0,2016-08-01 19:30:00,0,caipu/205002.jpg,1455,1,52.0,七
156,156,3433,458,610036,路易拉菲红酒干红,0,1.0,158.0,2016-08-01 19:30:00,0,caipu/402005.jpg,1455,1,158.0,七
157,157,3435,458,609964,避风塘炒蟹,0,1.0,48.0,2016-08-01 19:31:00,0,caipu/102004.jpg,1455,1,48.0,七
158,158,3441,458,610011,白饭/大碗,0,1.0,10.0,2016-08-01 19:31:00,0,caipu/601005.jpg,1455,1,10.0,七
159,159,3516,467,609970,麻辣小龙虾,0,1.0,99.0,2016-08-01 19:40:00,0,caipu/101006.jpg,1213,1,99.0,七
160,160,3520,467,610004,南瓜芝士包,0,1.0,10.0,2016-08-01 19:42:00,0,caipu/503003.jpg,1213,1,10.0,七
161,161,3519,467,609994,独家薄荷鲜虾牛肉卷,0,1.0,45.0,2016-08-01 19:42:00,0,caipu/201004.jpg,1213,1,45.0,七
162,162,3525,467,610011,白饭/大碗,0,2.0,10.0,2016-08-01 19:44:00,0,caipu/601005.jpg,1213,1,20.0,七
163,163,4435,562,609966,芝士烩波士顿龙虾,0,1.0,175.0,2016-08-01 19:44:00,0,caipu/101001.jpg,1552,1,175.0,七
164,164,3528,467,609941,清蒸海鱼,0,1.0,78.0,2016-08-01 19:45:00,0,caipu/103002.jpg,1213,1,78.0,七
165,165,3547,467,609958,香辣爆羊肝,0,1.0,28.0,2016-08-01 19:45:00,0,caipu/202004.jpg,1213,1,28.0,七
166,166,3537,467,609952,美妙绝伦之白莲花,0,1.0,29.0,2016-08-01 19:45:00,0,caipu/303003.jpg,1213,1,29.0,七
167,167,3549,467,609999,鱼香肉丝拌面,0,1.0,18.0,2016-08-01 19:46:00,0,caipu/603003.jpg,1213,1,18.0,七
168,168,3568,467,610034,法国波尔多AOC干红葡萄酒原,0,1.0,159.0,2016-08-01 19:47:00,0,caipu/402003.jpg,1213,1,159.0,七
169,169,3557,467,610013,番茄炖秋葵,0,1.0,35.0,2016-08-01 19:47:00,0,caipu/302002.jpg,1213,1,35.0,七
170,170,3570,467,610017,酸辣藕丁,0,1.0,33.0,2016-08-01 19:47:00,0,caipu/302006.jpg,1213,1,33.0,七
171,171,3578,467,609947, 北冰洋汽水 ,0,1.0,5.0,2016-08-01 19:49:00,0,caipu/404003.jpg,1213,1,5.0,七
172,172,3574,467,610062,蒜蓉生蚝,0,1.0,49.0,2016-08-01 19:49:00,0,caipu/104001.jpg,1213,1,49.0,七
173,173,3580,467,609948,露露无糖杏仁露,0,1.0,7.0,2016-08-01 19:50:00,0,caipu/404004.jpg,1213,1,7.0,七
174,174,4438,562,609935,山药养生粥,0,1.0,19.0,2016-08-01 19:50:00,0,caipu/602001.jpg,1552,1,19.0,七
175,175,4441,562,609994,独家薄荷鲜虾牛肉卷,0,1.0,45.0,2016-08-01 19:54:00,0,caipu/201004.jpg,1552,1,45.0,七
176,176,4447,562,609930,豌豆薯仔猪骨汤,0,3.0,39.0,2016-08-01 19:56:00,0,caipu/203001.jpg,1552,1,117.0,七
177,177,4455,562,610011,白饭/大碗,0,1.0,10.0,2016-08-01 19:57:00,0,caipu/601005.jpg,1552,1,10.0,七
178,178,3715,486,609970,麻辣小龙虾,0,1.0,99.0,2016-08-01 20:31:00,0,caipu/101006.jpg,1156,1,99.0,七
179,179,3719,486,609990,特醇嘉士伯啤酒罐装,0,1.0,6.0,2016-08-01 20:31:00,0,caipu/403005.jpg,1156,1,6.0,七
180,180,3713,486,609967,香酥两吃大虾,0,1.0,89.0,2016-08-01 20:31:00,0,caipu/101002.jpg,1156,1,89.0,七
181,181,3721,486,610012,香菇鹌鹑蛋,0,1.0,39.0,2016-08-01 20:33:00,0,caipu/302001.jpg,1156,1,39.0,七
182,182,3720,486,610011,白饭/大碗,0,1.0,10.0,2016-08-01 20:33:00,0,caipu/601005.jpg,1156,1,10.0,七
183,183,3722,486,609989,青岛啤酒罐装,0,1.0,7.0,2016-08-01 20:34:00,0,caipu/403004.jpg,1156,1,7.0,七
184,184,3726,486,610023,啤酒鸭,0,1.0,48.0,2016-08-01 20:34:00,0,caipu/204006.jpg,1156,1,48.0,七
185,185,3729,486,610039,培根紫菜卷,0,1.0,30.0,2016-08-01 20:34:00,0,caipu/105003.jpg,1156,1,30.0,七
186,186,3723,486,610017,酸辣藕丁,0,1.0,33.0,2016-08-01 20:34:00,0,caipu/302006.jpg,1156,1,33.0,七
187,187,3731,486,610025,番茄蛋汤,0,1.0,25.0,2016-08-01 20:35:00,0,caipu/204008.jpg,1156,1,25.0,七
188,188,3735,486,609951,炝炒大白菜,0,1.0,29.0,2016-08-01 20:35:00,0,caipu/303002.jpg,1156,1,29.0,七
189,189,3738,486,609958,香辣爆羊肝,0,1.0,28.0,2016-08-01 20:36:00,0,caipu/202004.jpg,1156,1,28.0,七
190,190,4027,517,609943,剁椒鱼头,0,1.0,55.0,2016-08-01 21:11:00,0,caipu/103004.jpg,1008,1,55.0,七
191,191,4028,517,609970,麻辣小龙虾,0,1.0,99.0,2016-08-01 21:17:00,0,caipu/101006.jpg,1008,1,99.0,七
192,192,4029,517,610014,金玉良缘,0,1.0,30.0,2016-08-01 21:18:00,0,caipu/302003.jpg,1008,1,30.0,七
193,193,4030,517,610030,番茄有机花菜,0,1.0,32.0,2016-08-01 21:19:00,0,caipu/304004.jpg,1008,1,32.0,七
194,194,3356,452,609944,水煮鱼,0,1.0,65.0,2016-08-01 21:19:00,0,caipu/103005.jpg,1114,1,65.0,七
195,195,3362,452,610010,白饭/小碗,0,2.0,1.0,2016-08-01 21:20:00,0,caipu/601004.jpg,1114,1,2.0,七
196,196,3363,452,610053,蛋挞,0,1.0,8.0,2016-08-01 21:20:00,0,caipu/501002.jpg,1114,1,8.0,七
197,197,3364,452,610047,西瓜胡萝卜沙拉,0,1.0,26.0,2016-08-01 21:21:00,0,caipu/301001.jpg,1114,1,26.0,七
